cash_request_id_main,user_id,cohort,cash_request_amount,cash_request_status,cash_request_id,type,fee_status,fee_amount,charge_moment
3404,14484,202006,100,direct_debit_rejected,3404,incident,rejected,5,after
16276,24496,202009,70,rejected,0,0,,,
2115,6593,202005,100,rejected,0,0,,,
897,4656,202003,100,rejected,0,0,,,
1558,8723,202005,100,money_back,0,0,,,
1572,8132,202005,100,money_back,0,0,,,
1134,960,202004,100,money_back,0,0,,,
1588,8814,202005,100,rejected,0,0,,,
848,4476,202003,100,rejected,0,0,,,
808,2659,202003,100,rejected,0,0,,,
885,4297,202003,200,rejected,0,0,,,
914,1861,202003,100,rejected,0,0,,,
903,810,202003,100,rejected,0,0,,,
900,996,202003,100,rejected,0,0,,,
1609,1895,202005,50,rejected,0,0,,,
1378,2186,202004,100,rejected,0,0,,,
5504,22172,202006,100,rejected,0,0,,,
2041,7653,202005,100,money_back,0,0,,,
2909,9371,202006,100,money_back,0,0,,,
2038,1533,202005,100,money_back,0,0,,,
1665,9119,202005,100,money_back,0,0,,,
2181,72,202005,100,rejected,0,0,,,
1656,3226,202005,100,money_back,0,0,,,
1574,3024,202005,100,rejected,0,0,,,
1007,1657,202003,100,rejected,0,0,,,
2116,6792,202005,50,money_back,0,0,,,
1116,5810,202004,100,rejected,0,0,,,
2378,11415,202005,60,money_back,0,0,,,
6347,15964,202007,100,rejected,0,0,,,
2246,9349,202005,100,money_back,0,0,,,
3029,13973,202006,100,rejected,0,0,,,
1620,8710,202005,100,rejected,0,0,,,
1717,8530,202005,100,money_back,0,0,,,
4231,18703,202006,100,rejected,0,0,,,
1759,8472,202005,100,rejected,0,0,,,
2328,4982,202005,100,money_back,2328,postpone,accepted,5,before
1760,6593,202005,100,rejected,0,0,,,
804,680,202003,100,rejected,0,0,,,
947,1946,202003,100,money_back,0,0,,,
722,865,202002,80,rejected,0,0,,,
1678,7869,202005,100,rejected,0,0,,,
2221,9561,202005,100,money_back,0,0,,,
8602,34037,202007,100,rejected,0,0,,,
2247,9843,202005,100,rejected,0,0,,,
1696,8040,202005,50,money_back,0,0,,,
2197,8809,202005,70,rejected,0,0,,,
1475,6634,202004,100,money_back,0,0,,,
1568,8644,202005,100,money_back,0,0,,,
1956,3533,202005,100,rejected,0,0,,,
1894,2142,202005,100,rejected,0,0,,,
1805,3364,202005,100,money_back,0,0,,,
1829,6051,202005,100,money_back,0,0,,,
894,939,202003,100,rejected,0,0,,,
2314,10203,202005,50,money_back,2314,postpone,cancelled,5,after
1088,5284,202004,100,rejected,0,0,,,
1117,5472,202004,100,rejected,0,0,,,
1783,7780,202005,50,money_back,0,0,,,
2231,9550,202005,100,rejected,0,0,,,
1684,3377,202005,50,rejected,0,0,,,
2266,10516,202005,20,money_back,2266,postpone,accepted,5,before
2266,10516,202005,20,money_back,2266,incident,accepted,5,after
25766,97141,202010,50,money_back,25766,instant_payment,accepted,5,after
1497,8311,202005,100,money_back,0,0,,,
1621,8955,202005,100,rejected,0,0,,,
1069,2530,202004,100,money_back,0,0,,,
1761,7780,202005,100,rejected,0,0,,,
1355,72,202004,100,rejected,0,0,,,
3344,12461,202006,65,rejected,0,0,,,
2183,4912,202005,100,rejected,0,0,,,
8896,33342,202007,100,rejected,0,0,,,
1089,5141,202004,100,rejected,0,0,,,
1118,5700,202004,100,money_back,0,0,,,
1937,5331,202005,100,rejected,0,0,,,
2107,8857,202005,40,rejected,0,0,,,
2315,4914,202005,100,money_back,2315,postpone,cancelled,5,after
1822,2011,202005,100,money_back,0,0,,,
1683,8857,202005,100,rejected,0,0,,,
1398,6410,202004,100,money_back,0,0,,,
1394,7387,202004,100,money_back,0,0,,,
1747,1987,202005,100,money_back,0,0,,,
3589,11298,202006,100,rejected,0,0,,,
1978,6461,202005,50,rejected,0,0,,,
1798,2653,202005,100,rejected,0,0,,,
1183,5291,202004,100,rejected,0,0,,,
2159,5067,202005,100,money_back,0,0,,,
2137,8090,202005,100,money_back,0,0,,,
1660,9002,202005,100,rejected,0,0,,,
1830,682,202005,100,rejected,0,0,,,
2264,10522,202005,100,money_back,0,0,,,
1729,1273,202005,100,rejected,0,0,,,
